Original_Unit,Standardized_Unit
Carbon Mass %,%
mg OC/g soil,mgC/g
MgC/ha,t C/ha
gC kg−1,g C/kg
gSOC/kg-1,g C/kg
g/kg,g C/kg
Mg ha-1,t C/ha
Mg/ha,t C/ha
mg C g-1,mgC/g
g/m2,g C/m^2
SOM/SOC (g/100g),%
% OC,%
%OC,%
Bulk soil SOC (Mg C ha1),t C/ha
Mg /ha,t C/ha
t/ ha,t C/ha
C org (g kg−1),g C/kg
mg/ g,mgC/g
kg/ha,kg/ha
Mg C ha–1,t C/ha
%,%
kg/layer (kilograms per layer) DP x 1m2,kg/layer
kg/layer (kilograms per layer),kg/layer
